PXD002801: mouse livers; CC experiment																																																											
"Program ""PAW_protein_grouper.py"" run on Tue Oct 28 09:49:56 2025"																																																											
																																																											
 	6326																								CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool		CC017_M	CC017_F	CC004_M	unused	CC004_F	CC001_M	CC001_F	unused	CC003_M	CC003_F	Pool
779	1	sp|P09103|PDIA1_MOUSE	 	 	 	 	184058334	68.2	509	57058	Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2	598	598	1	195	197	206	195	197	206	195	197	206	195	230035535	200608863	205994419	12724136	292072040	248551680	143548053	12186667	241416428	272405169	185954299	197	158818082	195691957	215389680	10679666	208511534	217593218	161218084	10367129	250392794	251944471	168060661	206	228960987	298303973	199629017	16650066	276376938	236489387	254954356	10394334	302118463	157722898	198160042
437	1	sp|O35490|BHMT1_MOUSE	 	 	"sp|O35490|BHMT1_MOUSE, sp|Q91WS4|BHMT2_MOUSE"	 	176835403	64.4	407	45020	Betaine--homocysteine S-methyltransferase 1 OS=Mus musculus OX=10090 GN=Bhmt PE=1 SV=1	1142	1011	0.885	353	392	397	309	348	354	348.295	387.979	392.931	309	183963169	257384328	203462598	15123399	376930895	210452564	96100957	9019605	145372891	217740524	171555093	348	145034862	171241242	232250215	12028267	199762972	373278774	110457499	16975292	217051811	256308720	173438965	354	215372300	278550158	228410726	18689636	307999181	331081763	142939186	13567602	162563681	155947284	185512152
3442	1	sp|Q8BWT1|THIM_MOUSE	 	 	 	 	175628655	84.9	397	41829	"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3"	1234	1234	1	407	430	397	407	430	397	407	430	397	407	163414935	204704408	164447621	12445636	252654598	336496853	154925081	12019065	128899839	124676564	155468460	430	194296560	210406237	242350499	12836682	265903723	369697720	262921929	15030975	195559564	272993474	204199736	397	172991618	294635500	163876667	15409785	238652330	265865513	251525760	9489885	170092723	89637901	167217768
1004	1	sp|P24270|CATA_MOUSE	 	 	 	 	174412777	74.2	527	59795	Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4	818	818	1	264	270	284	264	270	284	264	270	284	264	215609881	203163429	196826259	13127413	252750699	291627799	151673935	11576962	140332441	166135103	164282392	270	207728823	233865558	249362425	14750491	261673544	350083935	201387074	15623662	197819428	331900402	206419534	284	169444620	278338967	169089539	14818434	224658189	224046392	169639152	7966697	172693815	94668235	152536404
6462	1	sp|P02301|H3C_MOUSE_family	 	sp|P02301|H3C_MOUSE&sp|P68433|H31_MOUSE	 	 	162416308	28.7	136	15315	Histone H3.3C OS=Mus musculus OX=10090 GN=H3-5 PE=3 SV=3	169	169	1	62	54	53	62	54	53	62	54	53	62	220610226	192180568	304606844	11143366	259310840	316994652	133664459	11459256	185180433	256230611	189138126	54	145574053	126046197	272776458	8417363	163803033	226270144	154829446	8069078	189308665	176812547	147190698	53	169893073	172877236	224874857	8424973	205342671	195417657	202301054	7244139	213540340	109285015	150920101
2431	1	sp|Q61176|ARGI1_MOUSE	 	 	 	 	152136103	64.4	323	34807	Arginase-1 OS=Mus musculus OX=10090 GN=Arg1 PE=1 SV=1	753	753	1	243	265	245	243	265	245	243	265	245	243	145337055	157327805	181506807	10894954	188715991	182363918	83444706	8776749	120724472	137625267	121671773	265	203063425	236015676	303008781	18249515	203241247	242555088	154035253	16809714	231074107	331788777	193984158	245	176875727	211266737	187253386	14477634	202897834	161506322	165148261	7803285	181726164	98568421	140752377
6467	1	sp|P10854|H2B1M_MOUSE_family	 	sp|P10854|H2B1M_MOUSE&sp|Q64524|H2B2E_MOUSE&sp|P10853|H2B1F_MOUSE&sp|Q8CGP0|H2B3B_MOUSE	 	 	151324049	57.9	126	13936	Histone H2B type 1-M OS=Mus musculus OX=10090 GN=H2bc14 PE=1 SV=2	427	427	1	152	123	152	152	123	152	152	123	152	152	201777009	159602451	275238599	11174481	239866333	282389277	123268792	11991883	167281535	232390892	170498125	123	160340890	157969520	282407310	10150881	180707656	257135659	158360287	11461021	187875487	212907867	161931658	152	129407456	136727531	178717531	8658955	154155495	178681609	166497081	7029112	170770009	84778860	121542364
1012	1	sp|P24549|AL1A1_MOUSE	 	 	"sp|O35945|AL1A7_MOUSE, sp|P24549|AL1A1_MOUSE, sp|P47738|ALDH2_MOUSE, sp|Q62148|AL1A2_MOUSE, sp|Q9CZS1|AL1B1_MOUSE"	 	140668015	55.5	501	54467	Aldehyde dehydrogenase 1A1 OS=Mus musculus OX=10090 GN=Aldh1a1 PE=1 SV=5	1068	527	0.493	337	355	376	165	178	184	272.42	288.507	305.859	165	124317176	194000222	137373207	12689657	181433586	292346002	126858847	10462542	149981478	60836836	129029955	178	159196656	134639517	193948581	10108841	170446761	381231897	218538613	14569159	195306504	175970864	165395739	184	111714400	247072028	132821306	14896361	163690560	263365743	184500918	9947206	96875294	50899685	127578350
1152	1	sp|P35700|PRDX1_MOUSE	 	 	"sp|O08807|PRDX4_MOUSE, sp|P35700|PRDX1_MOUSE"	 	140340827	49.7	199	22176	Peroxiredoxin-1 OS=Mus musculus OX=10090 GN=Prdx1 PE=1 SV=1	581	481	0.828	199	193	189	171	151	159	197.749	190.637	187.563	171	228714620	143212695	217476119	9692007	242158013	228153975	136177089	10769718	187916594	224450074	162872090	151	164590103	137373464	210656614	8663673	159923879	168672605	138090166	8766426	182717066	184356921	136381092	159	156696882	150412715	146037151	8005322	159997895	132875463	145300668	6343823	200627205	111395864	121769299
1400	1	sp|P54869|HMCS2_MOUSE	 	 	"sp|P54869|HMCS2_MOUSE, sp|Q8JZK9|HMCS1_MOUSE"	 	133247378	38.6	508	56822	"Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcs2 PE=1 SV=2"	987	937	0.949	315	333	339	301	316	320	314.21	331.941	337.935	301	154435574	138898950	162453007	9014342	184312417	178962345	88042027	7805925	107840459	155306543	118707159	316	148375290	176831178	208776211	11261380	172408045	237579004	169188441	11776019	150762888	240611225	152756968	320	146477127	212923495	156978898	12947754	185214416	167738666	150530807	6637121	152385433	90946357	128278007
805	1	sp|P10126|EF1A1_MOUSE	 	 	 	 	129952471	57.6	462	50113	Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3	388	388	1	145	127	116	145	127	116	145	127	116	145	181586439	104970238	162083498	6707185	146281692	198938933	109373060	8612995	186211873	212580921	131734683	127	135252586	103818931	166815180	6166192	119949865	151788040	122977524	6208265	195140957	151458219	115957576	116	187329166	149699889	160714280	8405214	137108064	181696809	209845205	7337085	253306568	126209257	142165154
1035	1	sp|P26443|DHE3_MOUSE	 	 	 	 	128991648	54.8	558	61336	"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1"	930	930	1	301	311	318	301	311	318	301	311	318	301	171171413	143991734	199127594	10024688	197018429	176851455	99653553	10449939	159778278	225539675	139360676	311	133622097	121186223	202372458	8952155	140636113	126118830	115773288	7706325	169019582	171374944	119676202	318	163515876	174347647	163457771	11146845	159403741	121968790	135118294	7436538	217337627	125647547	127938068
3928	1	sp|Q8QZT1|THIL_MOUSE	 	 	 	 	121600613	49.5	424	44816	"Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1"	338	338	1	120	107	111	120	107	111	120	107	111	120	153464362	137015312	159358025	10065672	163673135	189232736	81906464	10522220	106271670	202903630	121441323	107	135027248	88426623	202414169	6956918	127385316	174415296	116678919	8680388	119594842	117002283	109658200	111	171943283	181320641	161243349	10619282	169103777	157007982	126025291	7908865	207418560	144432117	133702315
1432	1	sp|P56480|ATPB_MOUSE	 	 	 	 	119189896	76.4	529	56300	"ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2"	1176	1176	1	404	394	378	404	394	378	404	394	378	404	185671742	142924612	206439207	8771572	196011993	231549428	110402188	9376683	156741404	148460702	139634953	394	137438429	100887145	188518913	6048367	132725908	158606063	114990227	6827537	155391779	140992800	114242717	378	137789863	141005512	142433513	7288973	133466849	124393271	134073059	4909910	141287096	70272127	103692017
839	1	sp|P11725|OTC_MOUSE	 	 	 	 	113472714	60.2	354	39764	"Ornithine transcarbamylase, mitochondrial OS=Mus musculus OX=10090 GN=Otc PE=1 SV=1"	666	666	1	227	212	227	227	212	227	227	212	227	227	133977633	160555093	172007686	9609791	230574198	195482335	86440258	6433392	101951260	103222315	120025396	212	110183308	102523015	167644516	6063166	155258019	170534658	105523387	7017554	109843772	136718392	107130979	227	123124539	196323294	154045495	9643241	190179444	137291058	131933901	5053311	118258470	66764928	113261768
1108	1	sp|P32020|SCP2_MOUSE	 	 	 	 	110975729	55.8	547	59125	Sterol carrier protein 2 OS=Mus musculus OX=10090 GN=Scp2 PE=1 SV=3	792	792	1	274	262	256	274	262	256	274	262	256	274	174523854	93628058	122377915	5939474	107739267	159034868	140209631	7087009	163586715	107149000	108127579	262	147809881	100755118	144769383	7128374	119000996	179500395	152516275	8125330	201358462	124239751	118520396	256	161339888	158141039	117244258	8965948	112544134	135886573	139391341	5400947	152308390	71569600	106279212
770	1	sp|P08228|SODC_MOUSE	 	 	 	 	106594270	54.5	154	15943	Superoxide dismutase [Cu-Zn] OS=Mus musculus OX=10090 GN=Sod1 PE=1 SV=2	173	173	1	57	56	60	57	56	60	57	56	60	57	120442103	103843429	153810564	8526006	159523256	262170638	122890616	9437843	152138301	114609379	120739213	56	103323949	79497109	153148745	6507718	102210600	203787899	134474101	6626905	140120345	107704032	103740140	60	103117582	122335532	119056437	8038936	117797684	168785001	147505318	6381336	103381719	56635028	95303457
2610	1	sp|Q64374|RGN_MOUSE	 	 	 	 	106506640	72.2	299	33406	Regucalcin OS=Mus musculus OX=10090 GN=Rgn PE=1 SV=1	506	506	1	175	169	162	175	169	162	175	169	162	175	109361130	92191367	152955738	7622282	175797404	262172154	95278193	10759267	127484774	121681096	115530341	169	127394537	87542640	201290353	6980615	147778390	247472485	150896369	9729010	151795434	127099405	125797924	162	74669530	80826839	108591318	5495422	106164470	148063913	103870619	5965915	91634076	56634464	78191657
5503	1	sp|Q9DCW4|ETFB_MOUSE	 	 	 	 	102315790	72.5	255	27623	Electron transfer flavoprotein subunit beta OS=Mus musculus OX=10090 GN=Etfb PE=1 SV=3	371	371	1	125	123	123	125	123	123	125	123	123	125	121219752	110230494	145299554	7615923	156839121	181148715	88442364	7606723	89828644	101354932	100958622	123	122447170	115303853	176439060	7523809	138503642	180506744	130692486	7502125	122107688	149648610	115067519	123	102734716	132896565	118453295	6784317	130277199	126236034	121309148	4973231	106520532	59027262	90921230
876	1	sp|P14211|CALR_MOUSE	 	 	 	 	96259175	61.5	416	47994	Calreticulin OS=Mus musculus OX=10090 GN=Calr PE=1 SV=1	378	378	1	116	122	140	116	122	140	116	122	140	116	114010950	82723653	94074361	6015792	100724541	114795893	76902335	6817469	128587793	145551177	87020396	122	113774270	89424826	146366667	6444211	105606621	131395336	129513150	7507493	187238152	115857529	103312826	140	125613532	125304973	101021279	8534149	104907305	102025035	137092024	5831418	180361174	93752150	98444304
2615	1	sp|Q64442|DHSO_MOUSE	 	 	 	 	94393660	61.3	357	38249	Sorbitol dehydrogenase OS=Mus musculus OX=10090 GN=Sord PE=1 SV=3	401	401	1	131	128	142	131	128	142	131	128	142	131	110824591	94453765	133953349	6730526	136256965	161159010	78051838	7093034	168274676	121004643	101780240	128	92541654	64113609	136444538	5256579	105169068	138628498	91409641	6056722	184120826	88725444	91246658	142	92166200	112498453	112560395	7195753	117744181	122113087	107357712	5228495	151417244	73259310	90154083
1245	1	sp|P47738|ALDH2_MOUSE	 	 	"sp|O35945|AL1A7_MOUSE, sp|P24549|AL1A1_MOUSE, sp|P47738|ALDH2_MOUSE, sp|Q62148|AL1A2_MOUSE, sp|Q9CZS1|AL1B1_MOUSE"	 	92679782	52.4	519	56537	"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1"	750	664	0.885	243	265	242	217	233	214	229.957	249.85	226.853	217	117750645	123193052	137931966	8409387	175226599	170604784	75880731	7546410	102172208	77868795	99658458	233	102439335	103509960	150121417	6569099	133437352	145576886	101370401	6725963	120425853	139270971	100944724	214	87687537	125547132	98096948	6809373	120618550	100013866	100543700	3725350	91479351	39839830	77436164
4688	1	sp|Q99LC5|ETFA_MOUSE	 	 	 	 	92424258	61.6	333	35009	"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2"	469	469	1	156	160	153	156	160	153	156	160	153	156	136952030	123838585	160209658	8015618	169997570	193230484	98298186	8204447	105346056	111047793	111514043	160	94476894	91049342	143562864	5565895	112225451	145289317	113791528	5776718	98181625	121084857	93100449	153	86843735	104615218	97500367	6094867	101415138	98182859	100608841	3790008	82693919	44837870	72658282
5812	1	sp|Q9QXF8|GNMT_MOUSE	 	 	 	 	91775477	60.8	293	32675	Glycine N-methyltransferase OS=Mus musculus OX=10090 GN=Gnmt PE=1 SV=3	342	342	1	107	123	112	107	123	112	107	123	112	107	69441606	125731728	88897776	7945182	164785089	146965889	58602836	6557225	84473058	74606515	82800690	123	80513492	132300721	117184612	9310861	122391303	197386925	102296793	9774538	129645420	189748565	109055323	112	72716274	145862451	88804164	9364046	154167772	125934435	101646641	5928228	76591322	53688848	83470418
902	1	sp|P16015|CAH3_MOUSE	 	 	 	 	91410030	60	260	29366	Carbonic anhydrase 3 OS=Mus musculus OX=10090 GN=Ca3 PE=1 SV=3	426	426	1	142	146	138	142	146	138	142	146	138	142	79558717	108521492	90626232	9088321	112713195	279559138	128216073	10355879	131058139	37248465	98694565	146	75988781	32285675	97377059	4345494	92341708	210108275	189374842	8207934	202238777	47613977	95988252	138	78538635	125665900	77953913	8245212	92165502	163769671	135579325	6402572	78923578	28228423	79547273
958	1	sp|P20029|BIP_MOUSE	 	 	"sp|P16627|HS71L_MOUSE, sp|P17156|HSP72_MOUSE, sp|P17879|HS71B_MOUSE, sp|P20029|BIP_MOUSE, sp|P63017|HSP7C_MOUSE"	 	90709735	54	655	72421	Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3	771	661	0.857	258	250	263	223	210	228	241.535	230.738	246.844	223	167660872	120059011	130334678	7323616	143831504	157337136	115853730	8274361	186085686	194710765	123147136	210	77299272	59568615	98913157	3516207	76696298	77569633	88328454	3677438	133455621	81430046	70045474	228	107311566	101073095	76468149	5612461	82599940	74824602	121565578	3536720	147194197	69179650	78936596
1093	1	sp|P30115|GSTA3_MOUSE	 	 	"sp|P10648|GSTA2_MOUSE, sp|P13745|GSTA1_MOUSE, sp|P24472|GSTA4_MOUSE, sp|P30115|GSTA3_MOUSE"	 	87857541	42.1	221	25360	Glutathione S-transferase A3 OS=Mus musculus OX=10090 GN=Gsta3 PE=1 SV=2	678	478	0.705	243	230	205	176	161	141	230.742	216.975	192.56	176	97710075	112271277	142403527	8099568	129329688	147877784	72154211	6506691	110623130	77687881	90466383	161	94217175	100694248	152793227	6565568	101789879	142239211	91136275	6793787	132370082	128922707	95752216	141	76025276	127300425	111033015	8081934	107079398	105711750	98287592	4813335	83932070	51275457	77354025
724	1	sp|P05202|AATM_MOUSE	 	 	 	 	87706689	56.3	430	47411	"Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1"	523	523	1	173	175	175	173	175	175	173	175	175	173	102860523	101720853	111867050	6195266	127047700	128249693	67718459	5964270	100439689	108874726	86093823	175	92534392	94433561	125779730	5645615	105196776	129627386	90361882	5506750	117394238	126581476	89306181	175	104937448	133081839	111037174	6768463	117921599	116602366	103304560	4305344	110888796	68353054	87720064
6470	1	sp|P16858|G3P_MOUSE_family	 	sp|P16858|G3P_MOUSE&tr|S4R1W1|S4R1W1_MOUSE	 	 	87293436	59.5	333	35810	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=2	1025	1025	1	342	349	334	342	349	334	342	349	334	342	125680294	116367128	121177783	7971377	129068136	145598116	79075014	7193081	112417167	119146560	96369465	349	87691080	87017329	98838398	6190685	78121996	112096093	74237202	5743529	113306325	120125702	78336834	334	115204016	128496083	109859750	8822290	97740741	118979939	117727799	5196895	116933796	52778769	87174008
922	1	sp|P17182|ENOA_MOUSE	 	 	"sp|P17182|ENOA_MOUSE, sp|P21550|ENOB_MOUSE"	 	86700177	72.8	434	47140	Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3	890	690	0.775	304	287	299	240	220	230	302.439	283.534	297.532	240	130369385	104499178	144031218	6817240	124326904	158946371	80917731	6835365	111707193	103468380	97191896	220	99451986	92013026	131721843	5816997	80973229	120807740	85791509	5297472	124125010	125816548	87181536	230	99750749	106998355	105096928	5994167	92770945	96546076	99010113	4057314	101293848	45752495	75727099
781	1	sp|P09411|PGK1_MOUSE	 	 	 	 	83350362	71.2	417	44550	Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4	544	544	1	184	165	195	184	165	195	184	165	195	184	127290767	100872203	128272659	6458449	128170163	149044096	79665170	5824954	112635157	118975389	95720901	165	90432531	86546276	111181952	4756814	85418504	109957591	78598190	4529151	106994032	110445507	78886055	195	97042217	112073647	91905988	5436362	90599534	92877400	94414477	3713032	108749027	57629628	75444131
874	1	sp|P14152|MDHC_MOUSE	 	 	 	 	82394818	41.6	334	36511	"Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3"	401	401	1	136	128	137	136	128	137	136	128	137	136	105245787	81237125	120295312	4790009	112102763	138542215	62293461	4639448	96822969	89603078	81557217	128	113345235	75004171	144445028	4518350	97171404	150074341	89762015	5502020	120498240	101881424	90220223	137	102136186	100193105	106022566	4668411	92094060	106509060	90050909	3096869	96190755	53108219	75407014
1359	1	sp|P52760|RIDA_MOUSE	 	 	 	 	82247587	85.2	135	14255	2-iminobutanoate/2-iminopropanoate deaminase OS=Mus musculus OX=10090 GN=Rida PE=1 SV=3	605	605	1	200	209	196	200	209	196	200	209	196	200	101941205	113318413	177209903	7892358	179593975	177214908	65161651	6439089	113345188	77963372	102008006	209	70621797	68577513	134658913	4387570	93632170	118899154	66082667	5822499	97959173	98336743	75897820	196	66877858	96977436	117957972	5420056	111065741	98078740	80336458	3799817	73583522	34271740	68836934
1626	1	sp|P63017|HSP7C_MOUSE	 	 	"sp|P16627|HS71L_MOUSE, sp|P17156|HSP72_MOUSE, sp|P17879|HS71B_MOUSE, sp|P20029|BIP_MOUSE, sp|P38647|GRP75_MOUSE, sp|P63017|HSP7C_MOUSE"	 	80440490	65.6	646	70870	Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1	807	555	0.688	273	270	264	188	183	184	250.522	245.134	239.96	188	115374314	86448703	114719821	5017891	125948041	144445284	81594757	5515236	116155230	132231163	92745044	183	81705239	71608392	111221085	3897286	81848539	102151100	81500527	4281427	108398692	91923217	73853550	184	92886119	93983676	89721081	5649471	91610839	89596579	101325412	4366021	116991095	61098461	74722875
771	1	sp|P08249|MDHM_MOUSE	 	 	 	 	78773843	67.8	338	35611	"Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3"	402	402	1	133	133	136	133	133	136	133	133	136	133	93040279	82701501	95981219	5169076	105482248	105111729	54896393	4726955	73190304	73347737	69364744	133	127623784	119573368	157098135	8256131	129332951	165613100	114210354	8726340	134708274	164211103	112935354	136	70501111	84364691	71254492	4690982	73390712	63752955	63664944	2690431	67673157	38230838	54021431
1021	1	sp|P25688|URIC_MOUSE	 	 	 	 	73482066	52.5	303	35039	Uricase OS=Mus musculus OX=10090 GN=Uox PE=1 SV=2	371	371	1	117	128	126	117	128	126	117	128	126	117	68094501	70219387	63672789	5062035	89332984	178853274	103408438	6921079	87728728	65309442	73860266	128	60283322	60187320	66571428	4142980	67549503	141366931	102300406	5399359	74525239	81290828	66361732	126	78031035	117378787	65703580	6239351	87041213	143394282	162653286	4639226	92226760	44934473	80224199
